time,bitcoin_trend
2004-01,0.001
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0.001
2004-10,0
2004-11,0.001
2004-12,0.001
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0.001
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0.001
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0.001
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0.001
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0.001
2008-10,0
2008-11,0
2008-12,0.001
2009-01,0
2009-02,0
2009-03,0
2009-04,0.001
2009-05,0
2009-06,0.001
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0.001
2010-03,0.001
2010-04,0.001
2010-05,0.001
2010-06,0.001
2010-07,0.001
2010-08,0.001
2010-09,0.001
2010-10,0.001
2010-11,0.001
2010-12,0.001
2011-01,0.001
2011-02,0.001
2011-03,0.001
2011-04,0.001
2011-05,1
2011-06,2
2011-07,1
2011-08,1
2011-09,1
2011-10,0.001
2011-11,0.001
2011-12,0.001
2012-01,0.001
2012-02,0.001
2012-03,0.001
2012-04,0.001
2012-05,0.001
2012-06,0.001
2012-07,0.001
2012-08,1
2012-09,1
2012-10,0.001
2012-11,0.001
2012-12,1
2013-01,1
2013-02,1
2013-03,3
2013-04,8
2013-05,3
2013-06,2
2013-07,2
2013-08,2
2013-09,2
2013-10,3
2013-11,10
2013-12,12
2014-01,8
2014-02,9
2014-03,6
2014-04,4
2014-05,3
2014-06,3
2014-07,3
2014-08,3
2014-09,3
2014-10,3
2014-11,2
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,2
2015-05,2
2015-06,2
2015-07,3
2015-08,3
2015-09,2
2015-10,2
2015-11,3
2015-12,4
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,3
2016-06,5
2016-07,3
2016-08,3
2016-09,3
2016-10,3
2016-11,4
2016-12,5
2017-01,6
2017-02,6
2017-03,7
2017-04,6
2017-05,15
2017-06,14
2017-07,13
2017-08,21
2017-09,22
2017-10,23
2017-11,44
2017-12,100
2018-01,56
2018-02,41
2018-03,24
2018-04,19
2018-05,14
2018-06,13
2018-07,13
2018-08,12
2018-09,12
2018-10,9
2018-11,14
2018-12,13
2019-01,10
2019-02,9
2019-03,9
2019-04,12
2019-05,17
2019-06,20
2019-07,19
2019-08,16
2019-09,13
2019-10,12
2019-11,12
2019-12,11
2020-01,13
2020-02,14
2020-03,19
2020-04,16
2020-05,20
2020-06,14
2020-07,14
2020-08,15
2020-09,13
2020-10,13
2020-11,24
2020-12,32
2021-01,67
2021-02,68
2021-03,49
2021-04,51
2021-05,64
2021-06,45
2021-07,30
2021-08,33
2021-09,31
2021-10,36
2021-11,34
2021-12,35
2022-01,42
2022-02,35
2022-03,30
2022-04,24
2022-05,35
2022-06,41
2022-07,31
2022-08,22
2022-09,22
2022-10,17
2022-11,26
2022-12,18
2023-01,22
2023-02,19
